DT,RF2,RF5,RF10,RF50,RF100,Dataset,folds
0.992622960982419,0.9947556436819951,0.9976037854359495,0.9983293562342487,0.9990047714307309,0.9991805307859323,Class,10
0.99240056361967,0.994449997962153,0.9971498591445447,0.9982361709000463,0.998976105551768,0.9992089097835253,Class,10
0.9920478260409328,0.994321016258357,0.9970612522465634,0.998262320479797,0.999203558847223,0.9993065674523345,Class,10
0.9927092392588459,0.9945249996446786,0.9974309209692142,0.998133842496654,0.9991623844244737,0.9992707797362613,Class,10
0.9924360432045862,0.9942390359249312,0.9972450408415252,0.9983333757080997,0.999111442370763,0.9993072871638325,Class,10
0.9924815532089718,0.9944887766391771,0.9973561839178298,0.9982296869632564,0.999142197877232,0.9992231353297354,Class,10
0.9925064430255108,0.994412837595394,0.9973870869940102,0.9983219056667791,0.9991509729163907,0.9992110024613308,Class,10
0.9926940024800286,0.9942815467192022,0.9972595521379618,0.9981192652472737,0.9989624060306581,0.9991593711993586,Class,10
0.9921544249316275,0.9942111292962924,0.9972421796787588,0.9981830336548868,0.9991289867910619,0.9992359611504387,Class,10
0.9933224104186118,0.9947972655832158,0.997545256108945,0.9984049769661995,0.9991017745072017,0.9992203083367518,Class,10
